subhalo_id,snapshot,bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
389671,33,8.302851e-05,0.0,0.04259561,0.8754231,7.067401,67.88932
389671,34,8.1136386e-05,0.0,0.04523033,0.94177306,7.2415485,68.59729
389671,35,7.8378594e-05,0.0,0.048380032,1.0294762,7.4764533,69.4149
389671,36,7.666065e-05,1.8877327e-06,0.051769413,1.1225522,7.7375174,70.26794
389671,37,7.691287e-05,1.490151e-05,0.055429257,1.224883,8.0307045,71.16346
389671,38,7.657535e-05,2.8017676e-05,0.059273273,1.3359915,8.334725,72.08947
389671,39,7.696383e-05,4.1083375e-05,0.06369045,1.4593422,8.660322,73.0438
389671,40,7.781896e-05,5.5958342e-05,0.06852468,1.5934843,8.985918,74.01072
389671,41,7.887618e-05,7.551408e-05,0.07366284,1.7370785,9.31366,74.97589
389671,42,8.012238e-05,9.5551426e-05,0.07889086,1.8842188,9.652007,75.96142
