subhalo_id,snapshot,bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
13,18,0.0,0.0,0.006244643125683,0.4213970601558685,0.8020908832550049,53.60489654541016
13,19,0.0,0.0,0.0161486938595771,0.6435978412628174,8.04340934753418,75.5149154663086
13,20,0.0,0.0,0.0239373054355382,1.254688382148743,11.05165958404541,86.85636901855469
13,21,0.0,0.0,0.0307104494422674,1.306005358695984,13.369423866271973,93.93920135498048
13,22,0.0,0.0,0.0676734894514083,5.782820224761963,17.11858558654785,112.97750091552734
13,23,9.994190622819588e-05,0.0002328296395717,0.1340959221124649,11.69676399230957,18.793710708618164,111.4204330444336
13,24,0.0001121046443586,0.0001588657905813,0.2212949246168136,9.213821411132812,19.893415451049805,101.9886703491211
13,25,0.0001502483501099,0.0006514990818686,0.3354161083698272,13.273656845092772,21.637407302856445,99.90557861328124
13,26,0.0001833968417486,0.0006904527544975,0.3923527598381042,11.228582382202148,21.48713111877441,100.81846618652344
13,27,0.0002365175605518,0.0012614656006917,0.4838912189006805,15.669394493103027,21.873125076293945,104.00479125976562
13,28,0.0003867576015181,0.0037531238049268,0.5827610492706299,11.98151683807373,22.74937438964844,104.29444885253906
13,29,0.0007077661575749,0.0043172710575163,0.6634879112243652,8.763957023620605,23.15259552001953,104.7320556640625
13,30,0.0009729019948281,0.0021345673594623,0.734533965587616,12.496564865112305,20.53695106506348,107.07740783691406
13,31,0.0012474179966375,0.0018808980239555,0.8110958933830261,11.737866401672363,14.137471199035645,107.67821502685548
13,32,0.001560405944474,0.0021812433842569,0.8786351680755615,9.378342628479004,12.145564079284668,109.15479278564452
19,18,0.0,0.0,0.009524212218821,0.5355186462402344,3.1770131587982178,61.34863662719727
19,19,0.0,0.0,0.0125039992853999,0.5331364274024963,4.00877046585083,61.35847854614258
19,20,8.254108252003789e-05,5.201989188208245e-05,0.0146002992987632,0.5371823906898499,4.5964674949646,63.42486190795898
19,21,8.474069181829691e-05,4.259391789673828e-05,0.0165444370359182,0.4353162348270416,4.830989837646484,66.01583862304688
19,22,8.87351343408227e-05,0.0001081070149666,0.029406901448965,1.7695060968399048,6.45068883895874,86.75353240966797
19,23,9.38280500122346e-05,7.55657529225573e-05,0.0333042480051517,1.2433544397354126,6.805104732513428,78.2353744506836
19,24,0.0001009894767776,7.744732283754274e-05,0.048534944653511,0.7435485124588013,7.494141101837158,76.31558227539062
19,25,0.0001135514758061,0.0001157013903139,0.056446086615324,0.7538121342658997,7.381669521331787,73.78715515136719
19,26,0.0001196091907331,0.0001168747839983,0.0602659955620765,0.8586766719818115,7.416656494140625,72.85935974121094
19,27,0.0001304076286032,0.0001378080341964,0.0658037140965461,0.7874628305435181,7.221667289733887,72.505126953125
19,28,0.0001408029784215,0.0001186521112686,0.0713271796703338,0.955005705356598,7.443819999694824,72.28790283203125
19,29,0.0001527093554614,0.0001491298025939,0.0788638815283775,1.2657768726348877,7.576393604278564,74.38139343261719
19,30,0.0001676078682066,0.0001976626663235,0.0899917855858802,1.3638142347335815,8.146835327148438,76.40579986572266
19,31,0.0001840941840782,0.0001882763463072,0.1012630313634872,1.3010040521621704,8.37937068939209,80.24449920654297
19,32,0.000203839954338,0.0003381632559467,0.1105596274137497,1.7474565505981443,8.702423095703125,74.57762145996094
1513,18,0.0,0.0,0.0093769263476133,0.7791395783424377,2.8840749263763428,63.09109115600586
1513,19,0.0,0.0,0.0114441784098744,0.5222334861755371,3.2490179538726807,62.81435775756836
1513,20,0.0,0.0,0.0131604028865695,0.3906338810920715,3.849124193191528,60.238548278808594
1513,21,8.089795301202685e-05,3.5853801819030195e-05,0.0148627497255802,0.4417294859886169,4.398254871368408,60.25650024414063
1513,22,8.43232701299712e-05,6.58737335470505e-05,0.0183380637317895,0.9655053615570068,5.965612411499023,69.15760040283203
1513,23,9.164000221062452e-05,8.89758812263608e-05,0.0254147164523601,0.6287258267402649,6.5617218017578125,66.59651184082031
1513,24,9.686846897238864e-05,6.767601007595658e-05,0.0275037195533514,0.4959547519683838,7.768921375274658,62.31280899047852
1513,25,0.0001034764718497,6.346299778670073e-05,0.0336554124951362,0.6302335858345032,7.465121746063232,62.6189079284668
1513,26,0.0001068082929123,6.75740884616971e-05,0.0375726856291294,0.7803821563720703,7.955968856811523,66.43931579589844
1513,27,0.0001112795507651,3.951347025576979e-05,0.0419338941574096,0.6153437495231628,9.071366310119627,68.2479476928711
1513,28,0.0001184380598715,0.0001156140497187,0.0475010275840759,0.9171772599220276,10.331680297851562,68.87791442871094
1513,29,0.0001278203126275,9.28763547562994e-05,0.0562442690134048,1.2713301181793213,12.275330543518066,72.70848083496094
1513,30,0.0001353151019429,0.0001280939031857,0.0681957900524139,2.028763055801392,14.258753776550291,74.61969757080078
1513,31,0.0001462385553168,0.0001729403011268,0.0905317813158035,3.647883176803589,14.730583190917969,81.57369232177734
1513,32,0.0001608052407391,0.000183067008038,0.1257015168666839,5.090729713439941,14.215782165527344,88.1281967163086
1532,18,8.121292194118723e-05,8.676456491230056e-05,0.0187585391104221,0.98433119058609,4.601171493530273,71.73381805419922
1532,19,8.502661512466148e-05,7.415520667564124e-05,0.0240351371467113,0.7525883913040161,5.105724334716797,72.66177368164062
1532,20,8.87788919499144e-05,7.214865763671696e-05,0.0284252502024173,0.9224549531936646,5.743663787841797,73.55931854248047
1532,21,9.19866215554066e-05,7.1286856837105e-05,0.0306662824004888,0.9672248363494872,6.070754528045654,72.81085205078125
