horizon,bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
1,0.00017211433441843837,0.0010681813582777977,0.04213707521557808,1.2389230728149414,2.6576015949249268,4.682206630706787
2,0.00020632235100492835,0.001065427903085947,0.04747939854860306,1.3882641792297363,3.2054033279418945,5.825061798095703
3,0.00025558131164871156,0.0011018755612894893,0.056227002292871475,1.4576008319854736,3.913811445236206,6.6906418800354
4,0.00031018402660265565,0.0010476885363459587,0.06668476015329361,1.495879054069519,4.614459991455078,7.340246677398682
5,0.0003621762152761221,0.0010835197754204273,0.07873305678367615,1.5622934103012085,5.223836421966553,7.867202281951904
6,0.0004105583648197353,0.0010274333180859685,0.09155210107564926,1.6104906797409058,5.748521327972412,8.343661308288574
7,0.0004595160426106304,0.0009818769758567214,0.10694093257188797,1.668182373046875,6.663571834564209,8.863343238830566
