model,RMSE_bh_mass,RMSE_bh_acc,RMSE_stellar_mass,RMSE_sfr,RMSE_halo_mass,RMSE_vel_disp,MAE_bh_mass,MAE_bh_acc,MAE_stellar_mass,MAE_sfr,MAE_halo_mass,MAE_vel_disp,RMSE_mean,MAE_mean
LSTM,0.0009872977389022708,0.0070441169664263725,0.18830232322216034,7.532868385314941,14.665579795837402,7.357848167419434,0.00017211433441843837,0.0010681813582777977,0.04213707521557808,1.2389230728149414,2.6576015949249268,4.682206630706787,4.9587721824646,1.4370180368423462
Persistence,0.0007693243096582592,0.009485977701842785,0.17124344408512115,8.28585147857666,17.688068389892578,6.809868335723877,0.00011490552424220368,0.001206086133606732,0.027700597420334816,1.1986415386199951,1.7019474506378174,3.5341203212738037,5.4942145347595215,1.0772885084152222
Linear,0.0005595844076653185,0.007240550259866003,0.08170421572603423,6.611364821276471,7.78824856089546,6.431043630968927,0.00010860691848470936,0.0016353327288151087,0.02370642922381531,1.7008942611886189,2.5163228218169036,3.513733595134982,3.4866935605890705,1.29273350783527
