bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
7.930971e-05,0.0,0.025952294,0.42616963,5.3809257,60.636135
8.100903e-05,0.0,0.027455546,0.4476967,5.5196867,61.472343
8.266195e-05,0.0,0.02923458,0.4823916,5.688473,62.356297
8.3950465e-05,0.0,0.03115666,0.5256195,5.8638945,63.232773
8.509416e-05,0.0,0.033192836,0.57982683,6.059696,64.08612
